class,f1_score,precision,recall,support
1,0.386,0.769,0.258,349.0
2,0.464,0.374,0.613,400.0
3,0.564,0.596,0.535,400.0
4,0.66,0.646,0.675,400.0
class,f1_score,precision,recall,support
1,0.331,0.793,0.209,349.0
2,0.452,0.353,0.627,400.0
3,0.568,0.606,0.535,400.0
4,0.648,0.654,0.642,400.0
class,f1_score,precision,recall,support
1,0.403,0.779,0.272,349.0
2,0.457,0.369,0.6,400.0
3,0.559,0.601,0.522,400.0
4,0.632,0.611,0.655,400.0
class,f1_score,precision,recall,support
1,0.33,0.747,0.212,349.0
2,0.445,0.343,0.632,400.0
3,0.567,0.613,0.527,400.0
4,0.643,0.671,0.618,400.0
class,f1_score,precision,recall,support
1,0.381,0.669,0.266,349.0
2,0.418,0.347,0.525,400.0
3,0.541,0.526,0.557,400.0
4,0.609,0.625,0.595,400.0
class,f1_score,precision,recall,support
1,0.32,0.787,0.201,349.0
2,0.46,0.379,0.585,400.0
3,0.538,0.592,0.492,400.0
4,0.625,0.558,0.71,400.0
class,f1_score,precision,recall,support
1,0.373,0.677,0.258,349.0
2,0.461,0.377,0.593,400.0
3,0.547,0.574,0.522,400.0
4,0.663,0.645,0.682,400.0
class,f1_score,precision,recall,support
1,0.28,0.819,0.169,349.0
2,0.433,0.363,0.537,400.0
3,0.554,0.617,0.502,400.0
4,0.592,0.508,0.71,400.0
class,f1_score,precision,recall,support
1,0.308,0.739,0.195,349.0
2,0.427,0.352,0.542,400.0
3,0.551,0.625,0.492,400.0
4,0.592,0.522,0.685,400.0
class,f1_score,precision,recall,support
1,0.276,0.891,0.163,349.0
2,0.413,0.34,0.525,400.0
3,0.555,0.57,0.54,400.0
4,0.604,0.549,0.67,400.0
class,f1_score,precision,recall,support
1,0.363,0.796,0.235,349.0
2,0.444,0.354,0.598,400.0
3,0.552,0.576,0.53,400.0
4,0.648,0.647,0.65,400.0
class,f1_score,precision,recall,support
1,0.39,0.804,0.258,349.0
2,0.472,0.382,0.618,400.0
3,0.596,0.622,0.573,400.0
4,0.663,0.645,0.682,400.0
class,f1_score,precision,recall,support
1,0.336,0.813,0.212,349.0
2,0.431,0.37,0.515,400.0
3,0.544,0.575,0.515,400.0
4,0.609,0.529,0.718,400.0
class,f1_score,precision,recall,support
1,0.3,0.831,0.183,349.0
2,0.441,0.35,0.598,400.0
3,0.571,0.609,0.537,400.0
4,0.641,0.615,0.67,400.0
class,f1_score,precision,recall,support
1,0.364,0.776,0.238,349.0
2,0.445,0.366,0.568,400.0
3,0.542,0.569,0.517,400.0
4,0.664,0.622,0.713,400.0
class,f1_score,precision,recall,support
1,0.373,0.744,0.249,349.0
2,0.434,0.344,0.588,400.0
3,0.551,0.571,0.532,400.0
4,0.611,0.63,0.593,400.0
class,f1_score,precision,recall,support
1,0.381,0.726,0.258,349.0
2,0.442,0.363,0.565,400.0
3,0.534,0.554,0.515,400.0
4,0.645,0.622,0.67,400.0
class,f1_score,precision,recall,support
1,0.431,0.776,0.298,349.0
2,0.444,0.358,0.585,400.0
3,0.516,0.546,0.49,400.0
4,0.653,0.652,0.655,400.0
class,f1_score,precision,recall,support
1,0.309,0.788,0.192,349.0
2,0.449,0.351,0.625,400.0
3,0.575,0.605,0.547,400.0
4,0.641,0.65,0.632,400.0
class,f1_score,precision,recall,support
1,0.378,0.752,0.252,349.0
2,0.422,0.375,0.482,400.0
3,0.53,0.514,0.547,400.0
4,0.621,0.563,0.693,400.0
class,f1_score,precision,recall,support
1,0.381,0.754,0.255,349.0
2,0.435,0.362,0.545,400.0
3,0.568,0.55,0.588,400.0
4,0.644,0.643,0.645,400.0
class,f1_score,precision,recall,support
1,0.437,0.779,0.304,349.0
2,0.437,0.378,0.517,400.0
3,0.572,0.587,0.557,400.0
4,0.617,0.563,0.682,400.0
class,f1_score,precision,recall,support
1,0.386,0.699,0.266,349.0
2,0.46,0.375,0.595,400.0
3,0.553,0.576,0.532,400.0
4,0.644,0.635,0.652,400.0
class,f1_score,precision,recall,support
1,0.369,0.664,0.255,349.0
2,0.425,0.349,0.545,400.0
3,0.564,0.57,0.557,400.0
4,0.628,0.629,0.627,400.0
class,f1_score,precision,recall,support
1,0.427,0.769,0.295,349.0
2,0.439,0.37,0.54,400.0
3,0.572,0.569,0.575,400.0
4,0.626,0.605,0.647,400.0
class,f1_score,precision,recall,support
1,0.339,0.798,0.215,349.0
2,0.433,0.376,0.51,400.0
3,0.559,0.585,0.535,400.0
4,0.584,0.505,0.69,400.0
class,f1_score,precision,recall,support
1,0.42,0.787,0.287,349.0
2,0.466,0.393,0.573,400.0
3,0.581,0.6,0.562,400.0
4,0.653,0.608,0.705,400.0
class,f1_score,precision,recall,support
1,0.262,0.844,0.155,349.0
2,0.459,0.372,0.598,400.0
3,0.595,0.632,0.562,400.0
4,0.629,0.573,0.698,400.0
class,f1_score,precision,recall,support
1,0.412,0.795,0.278,349.0
2,0.437,0.35,0.58,400.0
3,0.575,0.597,0.555,400.0
4,0.614,0.62,0.608,400.0
class,f1_score,precision,recall,support
1,0.37,0.8,0.241,349.0
2,0.45,0.372,0.568,400.0
3,0.551,0.6,0.51,400.0
4,0.638,0.577,0.713,400.0
class,f1_score,precision,recall,support
1,0.46,0.748,0.332,349.0
2,0.418,0.36,0.5,400.0
3,0.541,0.549,0.532,400.0
4,0.645,0.609,0.685,400.0
class,f1_score,precision,recall,support
1,0.439,0.755,0.309,349.0
2,0.426,0.358,0.527,400.0
3,0.54,0.554,0.527,400.0
4,0.647,0.621,0.675,400.0
class,f1_score,precision,recall,support
1,0.411,0.789,0.278,349.0
2,0.437,0.372,0.53,400.0
3,0.567,0.583,0.552,400.0
4,0.639,0.587,0.7,400.0
class,f1_score,precision,recall,support
1,0.343,0.809,0.218,349.0
2,0.426,0.361,0.52,400.0
3,0.534,0.514,0.555,400.0
4,0.614,0.582,0.65,400.0
class,f1_score,precision,recall,support
1,0.376,0.692,0.258,349.0
2,0.411,0.355,0.487,400.0
3,0.541,0.531,0.55,400.0
4,0.629,0.59,0.672,400.0
class,f1_score,precision,recall,support
1,0.363,0.714,0.244,349.0
2,0.445,0.361,0.58,400.0
3,0.55,0.555,0.545,400.0
4,0.64,0.645,0.635,400.0
class,f1_score,precision,recall,support
1,0.349,0.678,0.235,349.0
2,0.447,0.364,0.58,400.0
3,0.556,0.608,0.512,400.0
4,0.611,0.575,0.652,400.0
class,f1_score,precision,recall,support
1,0.362,0.702,0.244,349.0
2,0.45,0.357,0.608,400.0
3,0.539,0.599,0.49,400.0
4,0.638,0.622,0.655,400.0
class,f1_score,precision,recall,support
1,0.35,0.846,0.221,349.0
2,0.424,0.358,0.52,400.0
3,0.562,0.589,0.537,400.0
4,0.618,0.551,0.705,400.0
class,f1_score,precision,recall,support
1,0.416,0.723,0.292,349.0
2,0.439,0.361,0.56,400.0
3,0.552,0.559,0.545,400.0
4,0.629,0.631,0.627,400.0
class,f1_score,precision,recall,support
1,0.389,0.765,0.261,349.0
2,0.47,0.391,0.59,400.0
3,0.59,0.59,0.59,400.0
4,0.659,0.638,0.68,400.0
class,f1_score,precision,recall,support
1,0.362,0.818,0.232,349.0
2,0.462,0.376,0.598,400.0
3,0.607,0.64,0.578,400.0
4,0.646,0.608,0.69,400.0
class,f1_score,precision,recall,support
1,0.33,0.785,0.209,349.0
2,0.45,0.348,0.637,400.0
3,0.55,0.607,0.502,400.0
4,0.621,0.628,0.615,400.0
class,f1_score,precision,recall,support
1,0.418,0.769,0.287,349.0
2,0.42,0.358,0.507,400.0
3,0.562,0.567,0.557,400.0
4,0.629,0.588,0.675,400.0
class,f1_score,precision,recall,support
1,0.352,0.68,0.238,349.0
2,0.433,0.372,0.517,400.0
3,0.561,0.592,0.532,400.0
4,0.595,0.53,0.677,400.0
class,f1_score,precision,recall,support
1,0.372,0.787,0.244,349.0
2,0.45,0.372,0.568,400.0
3,0.58,0.582,0.578,400.0
4,0.657,0.631,0.685,400.0
class,f1_score,precision,recall,support
1,0.406,0.752,0.278,349.0
2,0.461,0.375,0.598,400.0
3,0.584,0.633,0.542,400.0
4,0.66,0.63,0.693,400.0
class,f1_score,precision,recall,support
1,0.336,0.773,0.215,349.0
2,0.449,0.373,0.562,400.0
3,0.562,0.623,0.512,400.0
4,0.639,0.565,0.735,400.0
class,f1_score,precision,recall,support
1,0.409,0.8,0.275,349.0
2,0.468,0.388,0.59,400.0
3,0.586,0.614,0.56,400.0
4,0.669,0.629,0.715,400.0
class,f1_score,precision,recall,support
1,0.473,0.685,0.361,349.0
2,0.442,0.372,0.545,400.0
3,0.54,0.552,0.527,400.0
4,0.632,0.635,0.63,400.0
class,f1_score,precision,recall,support
1,0.333,0.82,0.209,349.0
2,0.443,0.356,0.588,400.0
3,0.577,0.596,0.56,400.0
4,0.646,0.627,0.665,400.0
class,f1_score,precision,recall,support
1,0.333,0.675,0.221,349.0
2,0.424,0.367,0.502,400.0
3,0.548,0.565,0.532,400.0
4,0.604,0.539,0.688,400.0
class,f1_score,precision,recall,support
1,0.36,0.774,0.235,349.0
2,0.429,0.356,0.54,400.0
3,0.572,0.585,0.56,400.0
4,0.624,0.587,0.665,400.0
class,f1_score,precision,recall,support
1,0.348,0.864,0.218,349.0
2,0.461,0.364,0.627,400.0
3,0.579,0.613,0.547,400.0
4,0.668,0.657,0.68,400.0
class,f1_score,precision,recall,support
1,0.344,0.743,0.223,349.0
2,0.448,0.376,0.555,400.0
3,0.56,0.582,0.54,400.0
4,0.624,0.571,0.688,400.0
class,f1_score,precision,recall,support
1,0.396,0.725,0.272,349.0
2,0.456,0.384,0.56,400.0
3,0.583,0.586,0.58,400.0
4,0.651,0.622,0.682,400.0
class,f1_score,precision,recall,support
1,0.386,0.769,0.258,349.0
2,0.442,0.357,0.58,400.0
3,0.577,0.594,0.56,400.0
4,0.651,0.647,0.655,400.0
class,f1_score,precision,recall,support
1,0.377,0.777,0.249,349.0
2,0.449,0.367,0.578,400.0
3,0.569,0.586,0.552,400.0
4,0.631,0.608,0.655,400.0
class,f1_score,precision,recall,support
1,0.379,0.714,0.258,349.0
2,0.426,0.37,0.502,400.0
3,0.551,0.562,0.54,400.0
4,0.616,0.556,0.69,400.0
class,f1_score,precision,recall,support
1,0.411,0.814,0.275,349.0
2,0.444,0.364,0.57,400.0
3,0.579,0.597,0.562,400.0
4,0.663,0.642,0.685,400.0
class,f1_score,precision,recall,support
1,0.33,0.777,0.209,349.0
2,0.452,0.381,0.555,400.0
3,0.579,0.618,0.545,400.0
4,0.641,0.567,0.738,400.0
class,f1_score,precision,recall,support
1,0.343,0.705,0.226,349.0
2,0.433,0.352,0.562,400.0
3,0.567,0.603,0.535,400.0
4,0.633,0.603,0.667,400.0
class,f1_score,precision,recall,support
1,0.314,0.689,0.203,349.0
2,0.413,0.336,0.535,400.0
3,0.539,0.589,0.497,400.0
4,0.572,0.529,0.623,400.0
class,f1_score,precision,recall,support
1,0.414,0.784,0.281,349.0
2,0.442,0.363,0.568,400.0
3,0.563,0.594,0.535,400.0
4,0.609,0.582,0.637,400.0
class,f1_score,precision,recall,support
1,0.332,0.763,0.212,349.0
2,0.448,0.36,0.593,400.0
3,0.55,0.601,0.507,400.0
4,0.61,0.572,0.652,400.0
class,f1_score,precision,recall,support
1,0.371,0.78,0.244,349.0
2,0.444,0.373,0.547,400.0
3,0.565,0.606,0.53,400.0
4,0.616,0.553,0.695,400.0
class,f1_score,precision,recall,support
1,0.358,0.779,0.232,349.0
2,0.435,0.345,0.59,400.0
3,0.562,0.595,0.532,400.0
4,0.618,0.617,0.62,400.0
class,f1_score,precision,recall,support
1,0.335,0.758,0.215,349.0
2,0.434,0.358,0.552,400.0
3,0.568,0.574,0.562,400.0
4,0.655,0.625,0.688,400.0
class,f1_score,precision,recall,support
1,0.296,0.762,0.183,349.0
2,0.419,0.334,0.56,400.0
3,0.56,0.573,0.547,400.0
4,0.63,0.62,0.64,400.0
class,f1_score,precision,recall,support
1,0.283,0.697,0.178,349.0
2,0.399,0.348,0.468,400.0
3,0.548,0.56,0.537,400.0
4,0.573,0.499,0.672,400.0
class,f1_score,precision,recall,support
1,0.429,0.803,0.292,349.0
2,0.457,0.376,0.583,400.0
3,0.56,0.577,0.545,400.0
4,0.655,0.635,0.675,400.0
class,f1_score,precision,recall,support
1,0.374,0.775,0.246,349.0
2,0.475,0.384,0.62,400.0
3,0.605,0.627,0.585,400.0
4,0.646,0.631,0.662,400.0
class,f1_score,precision,recall,support
1,0.433,0.752,0.304,349.0
2,0.452,0.372,0.575,400.0
3,0.57,0.57,0.57,400.0
4,0.63,0.638,0.623,400.0
class,f1_score,precision,recall,support
1,0.313,0.791,0.195,349.0
2,0.452,0.359,0.613,400.0
3,0.57,0.597,0.545,400.0
4,0.643,0.631,0.655,400.0
class,f1_score,precision,recall,support
1,0.387,0.83,0.252,349.0
2,0.457,0.365,0.61,400.0
3,0.559,0.597,0.525,400.0
4,0.635,0.618,0.652,400.0
class,f1_score,precision,recall,support
1,0.382,0.786,0.252,349.0
2,0.45,0.368,0.58,400.0
3,0.584,0.582,0.585,400.0
4,0.631,0.627,0.635,400.0
class,f1_score,precision,recall,support
1,0.307,0.867,0.186,349.0
2,0.453,0.359,0.615,400.0
3,0.582,0.622,0.547,400.0
4,0.646,0.619,0.675,400.0
class,f1_score,precision,recall,support
1,0.399,0.821,0.264,349.0
2,0.455,0.36,0.62,400.0
3,0.548,0.589,0.512,400.0
4,0.647,0.647,0.647,400.0
class,f1_score,precision,recall,support
1,0.364,0.776,0.238,349.0
2,0.449,0.381,0.545,400.0
3,0.559,0.583,0.537,400.0
4,0.626,0.563,0.705,400.0
class,f1_score,precision,recall,support
1,0.375,0.706,0.255,349.0
2,0.452,0.363,0.598,400.0
3,0.556,0.586,0.53,400.0
4,0.603,0.6,0.605,400.0
class,f1_score,precision,recall,support
1,0.316,0.784,0.198,349.0
2,0.442,0.372,0.545,400.0
3,0.564,0.613,0.522,400.0
4,0.576,0.504,0.672,400.0
class,f1_score,precision,recall,support
1,0.346,0.802,0.221,349.0
2,0.455,0.376,0.575,400.0
3,0.563,0.601,0.53,400.0
4,0.646,0.588,0.718,400.0
class,f1_score,precision,recall,support
1,0.244,0.739,0.146,349.0
2,0.426,0.358,0.525,400.0
3,0.543,0.618,0.485,400.0
4,0.584,0.494,0.715,400.0
class,f1_score,precision,recall,support
1,0.343,0.712,0.226,349.0
2,0.405,0.348,0.482,400.0
3,0.547,0.578,0.52,400.0
4,0.6,0.529,0.693,400.0
class,f1_score,precision,recall,support
1,0.294,0.849,0.178,349.0
2,0.453,0.368,0.59,400.0
3,0.586,0.638,0.542,400.0
4,0.624,0.565,0.698,400.0
class,f1_score,precision,recall,support
1,0.376,0.789,0.246,349.0
2,0.457,0.38,0.573,400.0
3,0.542,0.574,0.512,400.0
4,0.638,0.584,0.703,400.0
class,f1_score,precision,recall,support
1,0.418,0.754,0.289,349.0
2,0.47,0.387,0.598,400.0
3,0.537,0.578,0.502,400.0
4,0.661,0.624,0.703,400.0
class,f1_score,precision,recall,support
1,0.419,0.739,0.292,349.0
2,0.465,0.393,0.568,400.0
3,0.573,0.588,0.557,400.0
4,0.639,0.6,0.682,400.0
class,f1_score,precision,recall,support
1,0.342,0.792,0.218,349.0
2,0.454,0.36,0.613,400.0
3,0.569,0.61,0.532,400.0
4,0.648,0.63,0.667,400.0
class,f1_score,precision,recall,support
1,0.377,0.679,0.261,349.0
2,0.442,0.369,0.55,400.0
3,0.549,0.561,0.537,400.0
4,0.622,0.596,0.65,400.0
class,f1_score,precision,recall,support
1,0.375,0.782,0.246,349.0
2,0.424,0.367,0.502,400.0
3,0.571,0.597,0.547,400.0
4,0.632,0.557,0.73,400.0
class,f1_score,precision,recall,support
1,0.276,0.817,0.166,349.0
2,0.444,0.352,0.6,400.0
3,0.589,0.637,0.547,400.0
4,0.629,0.593,0.67,400.0
class,f1_score,precision,recall,support
1,0.28,0.892,0.166,349.0
2,0.458,0.369,0.603,400.0
3,0.576,0.641,0.522,400.0
4,0.628,0.562,0.71,400.0
class,f1_score,precision,recall,support
1,0.404,0.762,0.275,349.0
2,0.45,0.375,0.562,400.0
3,0.561,0.57,0.552,400.0
4,0.659,0.632,0.688,400.0
class,f1_score,precision,recall,support
1,0.317,0.717,0.203,349.0
2,0.447,0.369,0.568,400.0
3,0.555,0.609,0.51,400.0
4,0.614,0.553,0.69,400.0
class,f1_score,precision,recall,support
1,0.377,0.777,0.249,349.0
2,0.465,0.386,0.583,400.0
3,0.593,0.607,0.58,400.0
4,0.669,0.631,0.713,400.0
class,f1_score,precision,recall,support
1,0.355,0.857,0.223,349.0
2,0.445,0.36,0.583,400.0
3,0.577,0.623,0.537,400.0
4,0.654,0.607,0.708,400.0
class,f1_score,precision,recall,support
1,0.346,0.738,0.226,349.0
2,0.425,0.348,0.545,400.0
3,0.564,0.579,0.55,400.0
4,0.634,0.608,0.662,400.0
class,f1_score,precision,recall,support
1,0.433,0.72,0.309,349.0
2,0.465,0.391,0.573,400.0
3,0.565,0.572,0.557,400.0
4,0.656,0.638,0.675,400.0
class,f1_score,precision,recall,support
1,0.304,0.833,0.186,349.0
2,0.442,0.359,0.575,400.0
3,0.603,0.608,0.598,400.0
4,0.654,0.626,0.685,400.0
